no;x1;x2;MaxLength;Trophic Level;Trophic group;Water column;Diel Activity;Habitat;Gregariousness;comments;Eo Comments
146;Terapon jarbua;Terapon jarbua;36;3,9;Benthic invertivore;Demersal;Day;Sand;2;no comment;no comment
147;Thunnus albacares;Thunnus albacares;239;4,3;Higher carnivore;pelagic non-site attached;Day;coral;0;no comment;no comment
148;Triaenodon obesus;Triaenodon obesus;213;4,2;Higher carnivore;pelagic non-site attached;Day;coral;1;no comment;no comment
149;Tylosurus acus rafale;Tylosurus acus rafale;140;4,1;Higher carnivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;no comment
150;Tylosurus choram;Tylosurus choram;120;4,4;Higher carnivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;no comment
151;Tylosurus crocodilus crocodil.;Tylosurus crocodilus;150;4,266666667;Higher carnivore;pelagic non-site attached;Day;sand;2;no comment;no comment
152;Tylosurus crocodilus fodiator;Tylosurus crocodilus fodiator;134;4,5;Higher carnivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;no comment
153;Valamugil engeli;Osteomugil engeli;47,7;2,1;Benthic invertivore;pelagic site attached;#N/A;#N/A;#N/A;no comment;no comment
154;Valamugil seheli;Osteomugil engeli;47,7;2,1;Benthic invertivore;pelagic site attached;#N/A;#N/A;#N/A;no comment;no comment
155;Variola louti;Variola louti;83;4,3;Higher carnivore;Demersal;Day;coral;1;no comment;no comment
