survey;station;species;sequence;length;weight;sex;maturity;gonadweight;stomachfullness;stomachweight;otolith;bdep;lon;lat
2013002;203;ACANA05;1;48;1670;M;2;2;0;6;0;0;37,08116667;21,34983333
2013002;204;LUTLU04;1;38;810;M;2;2;4;58;0;0;36,9275;21,77633333
2013002;211;LUTLU06;1;57;2700;F;6;71;E;0;0;0;36,92916667;21,776
2013002;249;LUTLU06;1;62;3510;M;5;157;2;88;0;20;37,20333333;20,90716667
2013002;253;LUTLU06;1;60;3280;M;4;90;2;74;0;14;37,20916667;20,88416667
2013002;255;LABCH10;1;23;130;M;1;0,5;0;2;0;27;37,2165;20,87416667
2013002;255;LETLE02;1;32;480;M;2;1;0;2;0;27;37,2165;20,87416667
2013002;256;LUTLU06;1;41;1000;M;1;0,5;0;20;0;11;37,223;20,8835
2013002;259;LETLE02;2;32;560;F;4;8;4;44;0;21;37,24766667;20,89816667
2013002;259;LETLE02;1;35;690;M;2;2;2;5;0;21;37,24766667;20,89816667
2013002;259;LETLE02;3;32;540;F;4;7;4;21;0;21;37,24766667;20,89816667
2013002;259;SEREP07;1;82;8580;M;1;0,5;0;206;0;21;37,24766667;20,89816667
2013002;260;LETLE02;1;34;580;M;1;0,5;0;4;0;26;37,255;20,90116667
2013002;260;LETLE02;2;27;300;F;3;4;4;7;0;26;37,255;20,90116667
2013002;261;LETLE02;1;37;630;M;2;1;2;4;0;28;37,24866667;20,90333333
2013002;266;ECNEC01;1;68;1000;M;4;16;4;84;0;34;37,19966667;20,938
2013002;267;ARDAR03;1;52;1180;M;1;1;0;30;0;36;37,19666667;20,99616667
2013002;268;ARDAR03;1;45;480;M;1;1;0;23;0;40;37,19216667;20,98983333
2013002;274;LETLE02;1;36;610;M;2;2;4;28;0;21;37,16216667;20,958
2013002;274;LETLE02;2;29;390;M;1;0,5;3;10;0;21;37,16216667;20,958
